title,country,culture,image
The Bishop collection: investigations and studies in jade,American,,https://images.metmuseum.org/CRDImages/li/original/DP345035.jpg
"American Institute, New York City (front elevation)",American,,https://images.metmuseum.org/CRDImages/dp/original/DT999.jpg
"Indian Sweat House, Mendocino County, California",American,,https://images.metmuseum.org/CRDImages/ph/original/DP162221.jpg
[The Nile in front of the Theban Hills],American,,https://images.metmuseum.org/CRDImages/ph/original/DP-17115-001.jpg
[Summer Scene],American,,https://images.metmuseum.org/CRDImages/ph/original/DP209333.jpg
"Multnomah Falls Cascade, Columbia River",American,,https://images.metmuseum.org/CRDImages/ph/original/DT203401.jpg
"[Waterfall, Constantine]",American,,https://images.metmuseum.org/CRDImages/ph/original/DP110379.jpg
"President Lincoln and His Cabinet, with Lt. General Scott, in the Council Chamber at the White House",American,,https://images.metmuseum.org/CRDImages/dp/original/DP832645.jpg
"Central Park, Statue of the Indian Hunter",American,,https://images.metmuseum.org/CRDImages/dp/original/DP861594.jpg
Daniel Webster,American,,https://images.metmuseum.org/CRDImages/ph/original/DT1660.jpg
View Near Jessup's Landing (No. 3 of The Hudson River Portfolio),American,,https://images.metmuseum.org/CRDImages/dp/original/DP-12918-001.jpg
Troy from Mount Ida (No. 11 of The Hudson River Portfolio),American,,https://images.metmuseum.org/CRDImages/dp/original/DP-12933-001.jpg
United States Twenty-dollar Gold Piece,American,,https://images.metmuseum.org/CRDImages/ad/original/DP170360.jpg
View from Fishkill Looking To West-Point (No. 15 of The Hudson River Portfolio),American,,https://images.metmuseum.org/CRDImages/dp/original/DP-12937-001.jpg
"George Abel, The Baltimore Sun, from the American Editors series (N35) for Allen & Ginter Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP838860.jpg
"Charles H. Taylor, The Boston Daily Globe, from the American Editors series (N35) for Allen & Ginter Cigarettes",American,,https://images.metmuseum.org/CRDImages/dp/original/DP838907.jpg
"Thanksgiving Day in the Army – After Dinner: The Wish-Bone (Harper's Weekly, Vol. VIII)",American,,https://images.metmuseum.org/CRDImages/dp/original/DP831345.jpg
Vase with rooster,American and French,,https://images.metmuseum.org/CRDImages/es/original/DP704018.jpg
President Lincoln and His Cabinet,"American, born Alsace",,https://images.metmuseum.org/CRDImages/dp/original/DP832646.jpg
The Beginning of Autumn (Monument Mountain near Stockbridge)(from McGuire Scrapbook),"American, born Canada",American,https://images.metmuseum.org/CRDImages/ad/original/65079.jpg
Little Falls at Luzerne (No. 1 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12916-001.jpg
"Palisades (No. 19, Hudson River Portfolio)","American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DR145.jpg
Fort Edward (No. 10 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12932-001.jpg
Rapids Above Hadley's Falls (No. 4 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12919-001.jpg
Newburg [Newburgh] (No. 14 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12935-001.jpg
View Near Hudson (No. 15 (later No. 12) of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12936-001.jpg
Hudson (No. 13 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12934-001.jpg
View Near Sandy Hill (No. 7 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12922-001.jpg
Junction of the Sacandaga and Hudson Rivers (No. 2 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12917-001.jpg
West Point (No. 16 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12938-001.jpg
Glenns Falls (No. 6 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12921-001.jpg
Baker's Falls (No. 8 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12923-001.jpg
View Near Fort Miller (No. 10 (later changed to No. 9) of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12924-001.jpg
View Near Fort Montgomery (No. 22 (later changed to No. 18) of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12942-001.jpg
New York from Governor's Island (No. 20 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12941-001.jpg
View Near Fishkill (No. 17 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12939-001.jpg
The Palisades (No. 19 of The Hudson River Portfolio),"American, born England",,https://images.metmuseum.org/CRDImages/dp/original/DP-12940-001.jpg
The Sprinter,"American, born Mexico",American,https://images.metmuseum.org/CRDImages/ad/original/07.117.jpg
Serena Pulitzer Lederer (1867–1943),Austrian,,https://images.metmuseum.org/CRDImages/ep/original/DP120567.jpg
"Faith, Hope and Charity",Austrian,,https://images.metmuseum.org/CRDImages/es/original/2002.175.1-3.jpg
"Old St. Paul's Cathedral, London, seen from the East",Bohemian,,https://images.metmuseum.org/CRDImages/dp/original/DP814891.jpg
The Martyrs' Monument,British,,https://images.metmuseum.org/CRDImages/ph/original/DP147250.jpg
"Monument of Richard Jervoice, 1563",British,,https://images.metmuseum.org/CRDImages/dp/original/DP806357.jpg
"Scott Monument before Completion, Edinburgh",British,,https://images.metmuseum.org/CRDImages/ph/original/DP148634.jpg
"Monument to Sir Walter Scott, Bart.",British,,https://images.metmuseum.org/CRDImages/dp/original/DP805072.jpg
"Design for ""The Three Captains Memorial""",British,,https://images.metmuseum.org/CRDImages/dp/original/DP-13446-001.jpg
"[Ochterlony Monument, Calcutta]",British,,https://images.metmuseum.org/CRDImages/ph/original/DP147436.jpg
"Lord Hardinge's Monument, Calcutta",British,,https://images.metmuseum.org/CRDImages/ph/original/DP147426.jpg
"Design for a Monument to the Three Wives of the First Earl of Guilford, at Wroxton, Oxfordshire",British,,https://images.metmuseum.org/CRDImages/dp/original/DP805243.jpg
[Court of Ancient Monuments; German Medieval Court; View with Statue of Albert of Bavaria; Elevated View of Central Transept],British,,https://images.metmuseum.org/CRDImages/ph/original/DP323126.jpg
[View in Court of Christian Monuments; Views of Greek and Roman Sculpture Court],British,,https://images.metmuseum.org/CRDImages/ph/original/DP323105.jpg
"A Vase and Classical Monuments Carved with Hooded Women Carrying Urns, Two Females Embracing Beneath a Vase and Two Nude Female Figures Supporting a Vase",British,,https://images.metmuseum.org/CRDImages/dp/original/DP804430.jpg
The Raya Gopuram from W,British,,https://images.metmuseum.org/CRDImages/ph/original/DP132586.jpg
The Colosseum,British,,https://images.metmuseum.org/CRDImages/ph/original/DP143536.jpg
The Colossus of Rhodes,British,,https://images.metmuseum.org/CRDImages/dp/original/DP800890.jpg
Stela at Copan,British,,https://images.metmuseum.org/CRDImages/dp/original/DP820949.jpg
"Leaf from Aedes Walpolinae mounted with a hand-written sheet, two prints and a printed sheet with drawn additions: (a): Sermon on Painting, continued; (b): St. Peter's Church at Walpole; (c): Chateau de Picton; (d): Monument of Eudo de Arsie; (e) Printed text describing Monument of Eudo de Arsie",British,,https://images.metmuseum.org/CRDImages/dp/original/DP829095.jpg
The Honorable Henry Fane (1739–1802) with Inigo Jones and Charles Blair,British,,https://images.metmuseum.org/CRDImages/ep/original/DP213052.jpg
"Monument of Bishop Mays, Hereford Castle AD1516",British,,https://images.metmuseum.org/CRDImages/dp/original/DP805324.jpg
"Monuments and Chancel Steps, Tenby Church",British,,https://images.metmuseum.org/CRDImages/ph/original/DP112674.jpg
Side table (one of a pair),British,,https://images.metmuseum.org/CRDImages/es/original/DP153224.jpg
"[View of the City from the Ochterlony Monument, Calcutta]",British,,https://images.metmuseum.org/CRDImages/ph/original/DP147437.jpg
"Virgil's Tomb by Moonlight, with Silius Italicus Declaiming",British,,https://images.metmuseum.org/CRDImages/ep/original/DP322015.jpg
The Entombment,British,,https://images.metmuseum.org/CRDImages/dp/original/DP805384.jpg
"Portrait of George, 5th Duke of Marlborough, with Blenheim in the Distance",British,,https://images.metmuseum.org/CRDImages/dp/original/DP834495.jpg
Central Museum Madras: Group 27,British,,https://images.metmuseum.org/CRDImages/ph/original/DP300689.jpg
Sideboard dish,British,,https://images.metmuseum.org/CRDImages/es/original/DP268363.jpg
"[Cloisters of the Church of Saint John of the Kings, Toledo, Spain]",British,,https://images.metmuseum.org/CRDImages/ph/original/DT6339.jpg
Lachrymae,British,,https://images.metmuseum.org/CRDImages/ep/original/DP124813.jpg
The Great Pyramid and The Great Sphinx,British,,https://images.metmuseum.org/CRDImages/ph/original/DP132062.jpg
Ewer (one of a pair),British,,https://images.metmuseum.org/CRDImages/es/original/DP266219.jpg
Ewer (one of a pair),British,,https://images.metmuseum.org/CRDImages/es/original/DP266226.jpg
"Study for ""The Ferry""",British,,https://images.metmuseum.org/CRDImages/dp/original/DP801130.jpg
"Salisbury Cathedral - The Nave, from the South Transept",British,,https://images.metmuseum.org/CRDImages/ph/original/DP107950.jpg
Study of Two Women Grieving,British,,https://images.metmuseum.org/CRDImages/dp/original/DP805667.jpg
Italian Landscape with a Tomb,British,,https://images.metmuseum.org/CRDImages/dp/original/DP805320.jpg
Mrs. Grace Dalrymple Elliott (1754?–1823),British,,https://images.metmuseum.org/CRDImages/ep/original/DP169214.jpg
[Tomb of Lorenzo de Medici; Tomb of Giuliano de Medici; Court of Christian Monuments; German Medieval Vestibule],British,,https://images.metmuseum.org/CRDImages/ph/original/DP323132.jpg
"[Medieval Court; Statue of Coleoni; Equestrian Statue of Gattamelata by Donatello, from the Court of Monuments of Christian Art; Equestrian Statue of Colleone]",British,,https://images.metmuseum.org/CRDImages/ph/original/DP323103.jpg
Side table (one of a pair),British,,https://images.metmuseum.org/CRDImages/es/original/DP153224.jpg
Edinburgh.  The Scott Monument,"British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DP140463.jpg
Edinburgh. The Scott Monument,"British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DP140464.jpg
[The Taj Mahal from the Gateway],"British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DP143015.jpg
"[Group of 8 Early Stereograph Views of British Monuments, Memorials, and Tombs]","British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DP73049.jpg
"Design for the Washington Memorial, New York","British, Scottish",,https://images.metmuseum.org/CRDImages/dp/original/DP375101.jpg
Taj Mahal and Gardens,"British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DT4219.jpg
"The Theater of Marcellus, from the Piazza Montanara","British, Scottish",,https://images.metmuseum.org/CRDImages/ph/original/DP267679.jpg
"The Giralda, Seville","British, Scottish",,https://images.metmuseum.org/CRDImages/dp/original/DP829472.jpg
"The Temple at Dendur, Nubia","British, Scottish",,https://images.metmuseum.org/CRDImages/dp/original/DP804892.jpg
George Harley Drummond (1783–1855),"British, Scottish",,https://images.metmuseum.org/CRDImages/ep/original/DP170904.jpg
The Capitoline,"British, Welsh",,https://images.metmuseum.org/CRDImages/ph/original/DP148416.jpg
Lake Nemi and Genzano from the Terrace of the Capuchin Monastery,"British, Welsh",,https://images.metmuseum.org/CRDImages/ep/original/DP169563.jpg
Two hawks in a thicket,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP157342.jpg
Yan Family Temple Stele,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1977_375_14a_d_sf.JPG
Dwelling among Mountains and Clouds,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT7628.jpg
View From a Mountain Pavilion,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1981_122_O.jpg
Peacock and Hollyhocks,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT3873.jpg
Thirty-six Peaks of Mount Huang Recollected,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT375236.jpg
Mountain Landscape,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1985_214_149_238604.jpg
Landscapes in the Manner of Song and Yuan Masters,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP161128.jpg
Listening to the Zither Among Streams and Pines,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1982_1_9_O.JPG
Landscape in the Blue-and-Green Manner,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT371470.jpg
Spring Morning in the Mountains,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1991_342_O.jpg
Returning Fishermen,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP235975.jpg
Bamboo in Wind and Rain,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP-14071-003.jpg
Landscapes and trees,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP154033.jpg
Poem on a Riverside Pavilion,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1989_363_116_250038.jpg
Letter,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP153907.jpg
Boating amid Snowy Streams and Mountains,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/ASA21.jpg
Landscape Painted on the Double Ninth Festival,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP279492.jpg
Misty Bamboo on a Distant Mountain,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT6515.jpg
Mountains Along Riverbanks,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP-13878-002.jpg
Landscape with great pine,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP153508.jpg
The Simple Retreat,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP274196.jpg
The Pavilion of Prince Teng,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP205767_CRD.jpg
Scholar looking at a waterfall,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DT6780.jpg
Joint Landscape,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP235702_CRD.jpg
"The Qianlong Emperor's Southern Inspection Tour, Scroll Six: Entering Suzhou along the Grand Canal",Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP105240_CRD.jpg
The Sound of Spring in a Lonely Valley,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/1989_363_133.jpg
Outing to Zhang Gong's Grotto,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP204906_CRD.jpg
Windswept Lakeshore,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP160430.jpg
Landscapes,Chinese,China,https://images.metmuseum.org/CRDImages/as/original/DP162771.jpg
"Triumphal Arche, Foochow",Chinese,,https://images.metmuseum.org/CRDImages/ph/original/DP165592.jpg
Cup and saucer,Danish,,https://images.metmuseum.org/CRDImages/es/original/SF1972_190_2ab.jpg
"View of Frederiksborg, Karussel Gate",Danish,,https://images.metmuseum.org/CRDImages/dp/original/DP880279.jpg
Pyramid monument for J.B. van Bree,Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP800921.jpg
"Reconstruction of the Monument to Septimius Severus (above), View of the Ruins (below)",Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP800342.jpg
Map of Ancient Rome Illustrating Major Monuments and the Seven Hills,Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP800332.jpg
"Pyramid of Cestius and the Porta San Paolo, Rome",Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP800490.jpg
Arcadian Landscape,Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP800357.jpg
Castle by a River,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP145936.jpg
Young Herdsmen with Cows,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP146445.jpg
The Pelkus Gate near Utrecht,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP145926.jpg
"Still Life with Poppy, Insects, and Reptiles",Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP145933.jpg
Portrait of a Woman,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP143203.jpg
Capriccio of a Bridge with the Arcus Argentariorum by a Mediterranean Harbor,Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP838162.jpg
Christ among the Doctors,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP147792.jpg
"Nouveau Theatre de la Grande Bretagne: Ou Description Exacte des Palais de La Reine, et des Maisons les plus considerables...de la Grande Bretagne",Dutch,,https://images.metmuseum.org/CRDImages/dp/original/DP105010.jpg
The Card Party,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP143200.jpg
"Still Life with Fruit, Glassware, and a Wanli Bowl",Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP145932.jpg
The Old Castle,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP143169.jpg
View of the Town of Alkmaar,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP145944.jpg
Old Woman Cutting Her Nails,Dutch,,https://images.metmuseum.org/CRDImages/ep/original/DP146474.jpg
"Helmet, Breastplate, and Backplate",Flemish,"Flemish, possibly Antwerp",https://images.metmuseum.org/CRDImages/aa/original/205626.jpg
Model for a Papal monument,Flemish,,https://images.metmuseum.org/CRDImages/es/original/231613.jpg
Design for a sepulchral monument with an allegory of Time; verso: Design for a sepulchral monument,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808637.jpg
Design for a sepulchral monument; verso: Design for a sepulchral monument,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808626.jpg
Design for a sepulchral monument; verso: Design for a monument,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808645.jpg
Design for a sepulchral monument with an allegory of Time,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808630.jpg
Design for a sepulchral monument; verso: Design for a sepulchral monument,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808635.jpg
Design for a sepulchral monument with two figures,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808634.jpg
Design for a sepulchral monument with a portrait bust,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808658.jpg
Design for a sepulchral monument with a seated prophet or philosopher; verso: Sketches,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808641.jpg
Design for a sepulchral monument in the form of a pulpit; verso: Fragment of a text,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808655.jpg
Design for a sepulchral monument with a portrait bust; verso: Design for a reliquary (?),Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808632.jpg
Design for a sepulchral monument with Mary Magdalen and Saint Jerome; verso: Sketch (counterproof) and writing exercises,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808653.jpg
Design for a sepulchral monument with an allegory of Time; verso: Design for a column,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808639.jpg
Design for a sepulchral monument with an allegory of Time; verso: Architectural sketch and fragment of a letter,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808643.jpg
Design for a sepulchral monument with a seated female figure; verso: Design for a statue of a standing male figure and fragment of a letter,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808651.jpg
Portfolio with drawings and prints of tombs and epitaphs,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP842043.jpg
The Garden of Love (left block),Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DT11773.jpg
The Garden of Love (right block),Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DT11774.jpg
The Triumph of Henry IV,Flemish,,https://images.metmuseum.org/CRDImages/ep/original/DT5154.jpg
Design for a monument; verso: Architectural sketches,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808648.jpg
Design for a sepulchral monument; verso: Fragment of a letter and notes,Flemish,,https://images.metmuseum.org/CRDImages/dp/original/DP808647.jpg
John Barnard,Flemish,,https://images.metmuseum.org/CRDImages/es/original/DP-1749-001.jpg
"Tomb Effigy Bust of Marie de France (1327-41), daughter of Charles IV of France and Jeanne d'Evreux",Franco-Netherlandish,French,https://images.metmuseum.org/CRDImages/md/original/DT135.jpg
Triptych: The Last Judgment,French,French,https://images.metmuseum.org/CRDImages/rl/original/SLP1225-1_6635.jpg
Final Study for the Monument to Balzac,French,,https://images.metmuseum.org/CRDImages/es/original/DP-13618-017.jpg
Model for a Proposed Monument to Commemorate the Invention of the Balloon,French,,https://images.metmuseum.org/CRDImages/es/original/DP248127.jpg
Allegorical figure,French,,https://images.metmuseum.org/CRDImages/es/original/DP229771.jpg
"La Grande Toilette (The Patroness), from Le Monument du Costume",French,,https://images.metmuseum.org/CRDImages/dp/original/DP-17606-001.jpg
Medal Commemorating the Replacement of the Statue of Louis XIV in the Place des Victoires,French,,https://images.metmuseum.org/CRDImages/es/original/SF08_230_9.jpg
Design for Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP808746.jpg
Design for a  Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP808119.jpg
Design for a monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP808593.jpg
Decoration for a Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP808745.jpg
Design for a Wall Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP805583.jpg
Rustic Landscape with Stone Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/53.523.46.jpg
Design for a Monument (recto),French,,https://images.metmuseum.org/CRDImages/dp/original/DP812363.jpg
Landscape with Road and Monument,French,,https://images.metmuseum.org/CRDImages/rl/original/SF-1975-1-629.jpg
Project for a Public Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP836563.jpg
View of a Funerary Monument and Crypt,French,,https://images.metmuseum.org/CRDImages/dp/original/DP817846.jpg
Projected Monument on Mt. Cenis,French,,https://images.metmuseum.org/CRDImages/es/original/30703.jpg
The Fountain,French,,https://images.metmuseum.org/CRDImages/ep/original/DP164796.jpg
The Bathing Pool,French,,https://images.metmuseum.org/CRDImages/ep/original/DP264496.jpg
Design for a Double Heart Monument,French,,https://images.metmuseum.org/CRDImages/dp/original/DP812283.jpg
Wandering Minstrels,French,,https://images.metmuseum.org/CRDImages/ep/original/DP264499.jpg
The Dance,French,,https://images.metmuseum.org/CRDImages/ep/original/DP264494.jpg
The Swing,French,,https://images.metmuseum.org/CRDImages/ep/original/DP164797.jpg
